ID,大ジャンル,問題文,正解,別解
q0025,理系,二酸化炭素やメタンのように、大気中に含まれ地球の温暖化を引き起こす主な原因とされる気体の総称を何というでしょう？,温室効果ガス（おんしつこうかがす）,
q0026,文学,祖母を亡くした主人公・みかげが、雄一とその母・えり子との奇妙な共同生活を送る様子を描いた、吉本ばなな（よしもとばなな）のデビュー作は何でしょう？,『キッチン』,
q0027,文学,サーカスでの第一線を退いたホッキョクグマが、事務職をしながら作家として自伝を書くという内容の、多和田葉子（たわだ・ようこ）の小説は何でしょう？,『雪の練習生』（ゆきのれんしゅうせい）,
q0028,文学,イギリスの物理学者ホーキング博士と妻の半生を綴った自伝を原作とする、2014年に公開された伝記映画は何でしょう？,『博士と彼女のセオリー』（はかせとかのじょのせおりー）,原題：Travelling to Infinity
q0029,文学,上半身が人間で下半身が馬の姿をした、ギリシャ神話に登場する半人半獣の生物は何でしょう？,ケンタウロス,
q0030,文学,冒頭の「ゆく河の流れは絶えずして、しかももとの水にあらず」という一節が特に有名な、鴨長明（かものちょうめい）の随筆は何でしょう？,『方丈記』（ほうじょうき）,
q0031,文学,周囲の期待を背負って神学校に入学した少年ハンスが、厳しい教育制度の中で心身を消耗し破滅していく様を描いた、ヘルマン・ヘッセの小説は何でしょう？,『車輪の下』（しゃりんのした）,
q0032,文学,イアーゴの策略により、主人公の指揮官が妻のデズデモーナに嫉妬し破滅するというあらすじの、シェイクスピアの四大悲劇の一つはなんでしょう？,『オセロ』,
q0033,文学,北欧神話で、神々の住むアースガルズと人間界のミズガルズを結ぶとされる、虹の橋はなんでしょう？,ビフレスト,虹の橋
q0034,文学,スプリットタンや刺青にのめり込んでいく主人公のルイを描いた、金原ひとみ（かねはらひとみ）の小説は何でしょう？,『蛇にピアス』（へびにぴあす）,
q0035,文学,爆弾に見立てたある果物を丸善の書棚に置いてくるという場面が有名な、梶井基次郎の小説はなんでしょう？,『檸檬』（れもん）,
q0036,文学,『仮面の告白』『金閣寺』『潮騒』などの代表作がある、戦後日本を代表する作家は誰でしょう？,三島由紀夫（みしまゆきお）,
q0037,文学,青春小説からミステリーまで幅広い作風を持つ、『この夏の星を見る』や『かがみの孤城』などの代表作がある小説家は誰でしょう？,辻村深月（つじむらみづき）,
q0038,文学,単発作品の『婚活マエストロ』や『成瀬は天下を取りにいく』に始まる成瀬シリーズを執筆した小説家は誰でしょう？,宮島未奈（みやじま・みな）,
q0039,言葉,敵対する者同士が同じ場所に居合わせたり、困難な状況で協力し合ったりすることを、中国の故事から何というでしょう？,呉越同舟（ごえつどうしゅう）,
q0040,言葉,その道の達人でも時には失敗することを意味する諺を、平安時代の書家に例えて誰にも筆の誤りというでしょう？,弘法（こうぼう）,弘法大師
q0041,言葉,節分の日に焼いてヒイラギの枝に刺して飾る風習がある、漢字では魚偏に「弱い」と書く魚は何でしょう？,鰯（いわし）,柊いわし
q0042,言葉,鉛筆やビールなどの数を数える単位に使われる、12個を1組とする英語由来の単位は何でしょう？,ダース,
q0043,言葉,果汁や牛乳などを混ぜて凍らせたイタリア風のアイスを、「凍った」という意味のイタリア語で何というでしょう？,ジェラート,
q0044,言葉,日本語やトルコ語のように、実質的な意味を持つ語に助詞などの要素が付着して文法関係を示す言語を何というでしょう？,膠着語（こうちゃくご）,
q0045,言葉,物事の本当の面白さや深い味わいのことを、仏教で最上の味とされた乳製品に例えて何というでしょう？,醍醐味（だいごみ）,
q0046,言葉,SNSなどで短期間に話題が広まり注目を集めることを、蜂がブンブンと飛ぶ音を意味する英語から何というでしょう？,バズる,
q0047,言葉,千利休（せんのりきゅう）の弟子である山上宗二（やまのうえそうじ）の著書に記載され、井伊直弼（いいなおすけ）が『茶湯一会集（ちゃのゆいちえしゅう）』の中で使用したことから広まった、茶道の心得を表す四字熟語は何でしょう？,一期一会（いちごいちえ）,
q0048,言葉,他人のためにばかり働いて自分のことに手が回らない様子を、ある職業に例えて「何の白袴」というでしょう？,紺屋（こうや）,こうやのしろばかま
q0049,言葉,「どんな盾も突き通す矛」と「どんな矛も防ぐ盾」を元にした故事に由来する、つじつまが合わないことを指す言葉は何でしょう？,矛盾（むじゅん）,
q0050,言葉,初めて体験することなのに、以前にもどこかで体験したことがあるかのように感じる現象を、フランス語で何というでしょう？,デジャヴ（でじゃゔ）,既視感
q0051,日本史,佐賀県の神埼（かんざき）市などにまたがる、弥生時代のものとしては国内最大級の規模を持つ環壕集落の遺跡は何でしょう？,吉野ヶ里遺跡（よしのがりいせき）,
q0052,日本史,646年に出された「改新の詔」に基づいて実施された、土地と人民を国家が直接支配する制度を何というでしょう？,公地公民（こうちこうみん）,公地公民制
q0053,日本史,平安時代中期以降に戦乱や災害による社会不安を背景に流行した、釈迦の入滅から長い年月の後に仏教が衰えるとする思想は何でしょう？,末法思想（まっぽうしそう）,
q0054,日本史,承久の乱ののち、朝廷の監視や京都の警備を行うために鎌倉幕府が設置した機関は何でしょう？,六波羅探題（ろくはらたんだい）,
q0055,日本史,室町幕府と明の間で行われた貿易で、正規の貿易船であることを証明するために用いられた合い札を何というでしょう？,勘合（かんごう）,勘合符　勘合札
q0056,日本史,1615年に徳川秀忠（とくがわひでただ）が発布した、大名の城の修理の制限や婚姻の許可制などを定めた法令は何でしょう？,武家諸法度（ぶけしょはっと）,
q0057,日本史,日露戦争後のポーツマス条約で全権大使を務め、のちに関税自主権の回復を成し遂げた、明治期の政治家は誰でしょう？,小村寿太郎（こむら・じゅたろう）,
q0058,日本史,1951年、吉田茂（よしだしげる）内閣のもとで調印され、翌年の日本の主権回復をもたらした条約は何でしょう？,サンフランシスコ平和条約（さんふらんしすこへいわじょうやく）,サンフランシスコ講和条約
q0059,日本史,奈良時代から平安時代にかけて、貴族や寺社が開発領主からの寄進などを受けて支配した私有地のことを何というでしょう？,荘園（しょうえん）,
q0060,日本史,13世紀から16世紀にかけて朝鮮半島や中国大陸の沿岸部を荒らし回った海賊集団を、漢字2文字で何というでしょう？,倭寇（わこう）,
q0061,日本史,1972年に極彩色の壁画が発見された、奈良県明日香村にある古墳時代末期の円墳は何でしょう？,高松塚古墳（たかまつづかこふん）,
q0062,日本史,白河藩主としての手腕を買われて老中となったのち、寛政の改革をおこなった江戸時代の政治家は誰でしょう？,松平定信（まつだいらさだのぶ）,
q0063,世界史,紀元前216年のカンネーの戦いでローマ軍を包囲殲滅した、第2回ポエニ戦争で活躍したカルタゴの将軍は誰でしょう？,ハンニバル,ハンニバル・バルカ
q0064,世界史,ヴェルサイユ宮殿を建設するなど絶対王政の全盛期を築いた、「太陽王」と呼ばれるフランス国王は誰でしょう？,ルイ14世（るいじゅうよんせい）,
q0065,世界史,ヴィルヘルム1世のもとでプロイセンの首相となり、「鉄血演説」をおこなってドイツの統一を推し進めた政治家は誰でしょう？,ビスマルク,オットー・フォン・ビスマルク
q0066,世界史,1962年、ソ連によるミサイル基地建設を巡ってアメリカとソ連が対立し、核戦争寸前まで至った危機のことを何というでしょう？,キューバ危機（きゅーばきき）,
q0067,世界史,「王侯将相いずくんぞ種あらんや」という言葉がスローガンとなった、中国史上初の農民反乱は何でしょう？,陳勝・呉広の乱（ちんしょう・ごこうのらん）,
q0068,世界史,大乗仏教を保護したシャイレーンドラ朝の王らによって建設された、ジャワ島にある世界最大の仏教遺跡は何でしょう？,ボロブドゥール寺院,ボロブドゥール遺跡
q0069,世界史,19世紀初頭にベネズエラやコロンビアなど南米諸国をスペインからの独立に導いた、ボリビアの国名の由来となった革命家は誰でしょう？,シモン・ボリバル,
q0070,世界史,イスラム教の創始者ムハンマドの生誕地である、カーバ神殿が存在するサウジアラビアの都市はどこでしょう？,メッカ,マッカ
q0071,世界史,1773年、イギリス本国の茶法に反対する急進派が、東インド会社の船を襲撃して積荷を海に投棄した事件は何でしょう？,ボストン茶会事件（ぼすとんちゃかいじけん）,ボストン・ティーパーティー事件
q0072,世界史,ムガル帝国第5代皇帝シャー・ジャハーンが、愛妃ムムターズ・マハルのために建造した、インドにある白大理石の霊廟は何でしょう？,タージ・マハル,
q0073,世界史,著書に、アジア・アフリカ・ヨーロッパを旅した記録である『三大陸周遊記』がある、モロッコ出身の旅行家は誰でしょう？,イブン・バットゥータ,
q0074,世界史,「エジプトはナイルの賜物（たまもの）」という言葉を残した、著書『歴史』がある古代ギリシャの歴史家は誰でしょう？,ヘロドトス,
q0075,公民,訪問販売などで契約をした場合、一定期間内であれば無条件で契約を解除できる制度を何というでしょう？,クーリング・オフ,クーリングオフ
q0076,公民,日本国憲法第25条で保障されている、「健康で文化的な最低限度の生活を営む権利」のことを何というでしょう？,生存権（せいぞんけん）,
q0077,公民,2023年には広島サミットの議長を務め、内閣総理大臣として「こども家庭庁」を発足させた日本の政治家は誰でしょう？,岸田文雄（きしだふみお）,
q0078,公民,著書『社会契約論』の中で、主権は国民にあるとする「人民主権」を説いたフランスの思想家は誰でしょう？,ジャン＝ジャック・ルソー,ルソー
q0079,公民,法律や命令などが憲法に違反していないかどうかを判断する、日本の裁判所に与えられた権限を何というでしょう？,違憲立法審査権（いけんりっぽうしんさけん）,法令審査権
q0080,公民,オランダのハーグに本部を置く、国家間の法律的な紛争を裁判によって解決する国連の主要機関は何でしょう？,国際司法裁判所（こくさいしほうさいばんしょ）,ICJ
q0081,公民,私的独占の禁止や公正な取引の確保を目的として制定された、公正取引委員会が運用する法律は何でしょう？,独占禁止法（どくせんきんしほう）,独禁法
q0082,公民,地方自治法で認められた直接請求権の一つで、住民の署名によって首長や議員などの解職を請求する制度を何というでしょう？,リコール,解職請求
q0083,公民,法定労働時間を超えて残業させる場合に労使間で結ぶ必要がある協定のことを、根拠となる労働基準法の条文番号から通称何というでしょう？,三六協定（さぶろくきょうてい）,36協定
q0084,公民,2017年に国連事務総長に就任し、2023年には「地球沸騰化の時代」という言葉で気候変動に警鐘を鳴らした人物は誰でしょう？,アントニオ・グテーレス,グテーレス
q0085,公民,不況時には政府が有効需要を創出するべきであると、著書『雇用・利子および貨幣の一般理論』で説いた経済学者は誰でしょう？,ケインズ,ジョン・メイナード・ケインズ
q0086,公民,刑事裁判で、有罪判決が確定するまでは被告人を無罪として扱わなければならないという原則を何というでしょう？,推定無罪（すいていむざい）,無罪の推定
q0087,公民,日本の公職選挙法で、参議院議員に立候補することができるのは満何歳以上と定められているでしょう？,30歳（30さい）,満30歳
q0088,地理,アジアとヨーロッパを繋ぐ海上交通の要衝となっている、地中海と紅海を結ぶエジプトの運河は何でしょう？,スエズ運河（スエズうんが）,
q0089,地理,生物分布の境界線の一つで、バリ島とロンボク島、ボルネオ島とスラウェシ島の間を通る線を、提唱者の名前から何というでしょう？,ウォレス線,
q0090,地理,アラビア語で「岸辺」という意味がある、サハラ砂漠の南縁に広がる、砂漠化が進行中の半乾燥地域を何というでしょう？,サヘル,
q0091,地理,関東平野の台地や丘陵を広く覆っている、箱根山や富士山の火山灰が堆積してできた赤土の層を何というでしょう？,関東ローム層（かんとうロームそう）,
q0092,地理,オーストラリア北東の海岸に約2000kmにわたって連なる、世界最大のサンゴ礁地帯は何でしょう？,グレートバリアリーフ,大堡礁
q0093,地理,山を越えて吹き降ろす風が、乾燥して気温が高くなる現象を、アルプス山脈越えの風の呼び名に由来して何というでしょう？,フェーン現象（フェーンげんしょう）,フェーン
q0094,地理,ラテンアメリカ地域で多く見られる、白人とインディオ（先住民）との混血の人々を何というでしょう？,メスチソ,
q0095,地理,北極圏や南極圏などの高緯度地域で、夏に太陽が一日中沈まない現象を何というでしょう？,白夜（びゃくや）,ミッドナイトサン
q0096,地理,阿蘇山などに見られる、火山の噴火による陥没などで形成された巨大な窪地のことを、ポルトガル語で「釜」という意味の言葉で何というでしょう？,カルデラ,
q0097,地理,1970年代以降に先端技術産業が発達した、北緯37度以南の北アメリカ南部地域の総称を「何ベルト」というでしょう？,サンベルト,
q0098,地理,ノルウェーの海岸などで見られる、氷河によって削られたU字谷に海水が入り込んでできた地形を何というでしょう？,フィヨルド,峡湾
q0099,地理,経線と緯線が直角に交わり、等角航路が直線で表されるため、古くから航海図として利用されてきた地図の図法は何でしょう？,メルカトル図法（メルカトルずほう）,
q0100,生活,肉や玉ねぎを炒めた時、タンパク質と糖を加熱した際に褐色の物質が生成され、独特の香ばしい風味が生じる反応は何でしょう？,メイラード反応（メイラードはんのう）,
q0101,生活,クリミア戦争中に負傷兵の治療を行いやすくするために考案された、前開きのニット製衣類は何でしょう？,カーディガン,
q0102,生活,ギリシャ神話に登場する「セイレーン」をモチーフにしたロゴを使用している、シアトル発祥のコーヒーチェーンは何でしょう？,スターバックス,スターバックス コーヒー
q0103,生活,一年の間で最も昼の時間が短くなる日である、二十四節気の一つは何でしょう？,冬至（とうじ）,
q0104,生活,1つの花からわずか3本しか取れないめしべを乾燥させて作られる、世界一高価ともいわれる黄色いスパイスは何でしょう？,サフラン,
q0105,生活,災害現場などで、負傷者の緊急度や重症度に応じて治療の優先順位を決定する行為は何でしょう？,トリアージ,
q0106,生活,スウェーデン出身の実業家イングヴァル・カンプラードによって創業された、世界最大級の家具量販店は何でしょう？,IKEA（イケア）,イケア
q0107,生活,デンソーウェーブの原昌宏（はら・まさひろ）のチームによって開発された、三隅の切り出しシンボルが特徴の二次元コードは何でしょう？,QRコード（キューアールコード）,
q0108,生活,食品メーカーなどで余った食品の寄付を受け、必要とする施設や個人に無償で届ける活動は何でしょう？,フードバンク,
q0109,生活,格子の交点に色の濃い部分ができる特徴がある、スコットランドの生地業者が考案したチェック模様は何でしょう？,ギンガムチェック,ギンガム
q0110,生活,アメリカの登山家「イヴォン・シュイナード」が創業した、南米大陸南部のある地域の名前が社名につけられたアウトドア用品メーカーは何でしょう？,パタゴニア,
q0111,生活,肉を焼く際、フライパンに溜まった脂や肉汁をスプーンですくい、素材に繰り返し回しかけるフランス料理の技法は何でしょう？,アロゼ,
q0112,生活,ジャマイカの高地で栽培され木樽に入れて輸出される、高級コーヒー豆の銘柄は何でしょう？,ブルーマウンテン,ブルマン
q0113,生活,胸当てと肩紐がズボンと一体になっている、19世紀のアメリカで作業着として普及した衣類は何でしょう？,オーバーオール,サロペット
q0114,生活,1908年に池田菊苗（いけだ・きくなえ）が昆布のダシから抽出し、うま味の主成分であることを発見したアミノ酸の一種は何でしょう？,グルタミン酸,グルタミン酸ナトリウム
q0115,生活,本来は薬としての効果がない物質であっても、服用者の期待感によって症状が改善する心理的な現象は何でしょう？,プラセボ効果（プラセボこうか）,プラシーボ効果
q0116,生活,イタリアのモデナ地方で伝統的に作られる、ブドウの濃縮果汁を長期間熟成させて作られる芳醇な酢は何でしょう？,バルサミコ酢（バルサミコす）,バルサミコ
q0117,生活,破損した陶磁器を漆で接着し、継ぎ目に金や銀の粉をまいて修復する、日本伝統の技法は何でしょう？,金継ぎ（きんつぎ）,
q0118,生活,寄付額に応じて税金の控除を受けられ、返礼品として地域の特産品が贈られることもある自治体への寄付制度は何でしょう？,ふるさと納税（ふるさとのうぜい）,
q0119,生活,イギリスの首相「チャールズ・グレイ」に由来する名称を持つ、ベルガモットの香りを付けたフレーバーティーは何でしょう？,アールグレイ,
q0120,生活,環境や社会に配慮した消費活動をすることを、「倫理的な」という意味の英語を用いて、何消費というでしょう？,エシカル消費（エシカルしょうひ）,倫理的消費
q0121,生活,二十四節気の一つで、大地が温まり、冬ごもりをしていた虫たちが穴を出て動き出す時期は何でしょう？,啓蟄（けいちつ）,
q0122,生活,「エアベッド・アンド・ブレックファスト」の略称である、世界最大のオンライン民泊仲介サービスは何でしょう？,Airbnb（エアビーアンドビー）,エアビーアンドビー
q0123,生活,延伸ポリテトラフルオロエチレンという素材を用い、防水性と透湿性を両立させた、アウトドア用品に使われる素材は何でしょう？,ゴアテックス,
q0124,生活,「黒いダイヤ」や「厨房のダイヤモンド」とも称される、世界三大珍味の一つに数えられるキノコは何でしょう？,トリュフ,セイヨウショウロ
q0125,生活,飲食店で食べきれなかった料理を持ち帰るための容器を、「犬に食べさせる」という意味の英語から何というでしょう？,ドギーバッグ,
q0126,生活,訪問販売などで契約をした際、一定期間内であれば消費者が無条件で契約を解除できる制度を何というでしょう？,クーリング・オフ,
q0127,生活,細い穴から押し出される様子が「ある自然の景観」に似ていることから名付けられた、糸状のこんにゃくを何というでしょう？,白滝（しらたき）,糸こんにゃく
q0128,生活,医薬品の特許期間終了後に、同じ有効成分で製造・販売される安価な薬を何というでしょう？,ジェネリック医薬品,後発医薬品
q0129,生活,建築家のロナルド・メイスが提唱した、年齢や障害の有無にかかわらず誰もが使いやすいよう設計するという考え方を英語で何というでしょう？,ユニバーサルデザイン,UD
q0130,生活,祝儀袋や香典袋を包むために用いられる、絹などで作られた四角い布を何というでしょう？,袱紗（ふくさ）,
q0131,生活,ご飯と汁物に加え、3種類のおかずを組み合わせた、和食の基本的な献立の形を何というでしょう？,一汁三菜（いちじゅうさんさい）,
q0132,生活,参拝の証としてお寺や神社から授与される、墨書きと印を組み合わせたものを何というでしょう？,御朱印（ごしゅいん）,
q0133,生活,「私たちの手で地球を守ろう」というメッセージが込められた、環境負荷が少ない商品に付けられるマークは何でしょう？,エコマーク,
q0134,生活,妊娠初期に見られる吐き気や食欲不振などの症状を、漢字2文字で何というでしょう？,つわり,悪阻
q0135,生活,仏事の際に手に持つ、珠を紐でつないで作られた仏具のことを何というでしょう？,数珠（じゅず）,念珠
q0136,生活,繊維を織らずに熱や接着剤で結合させた、マスクや使い捨ておむつに使われる布を何というでしょう？,不織布（ふしょくふ）,
q0137,生活,「両手を広げて伸びをする人」のマークが表示されている、国の審査を受け、健康への効果を表示することが許可された食品を特に何というでしょう？,特定保健用食品（とくていほけんようしょくひん）,トクホ
q0138,生活,航空会社の利用距離に応じて貯まる、航空券などと交換できるポイントを何というでしょう？,マイレージ,マイル
q0139,生活,煮物を作る際、煮崩れを防ぎ見栄えを良くするために、野菜の角を薄く削り取る調理技術を何というでしょう？,面取り（めんとり）,めんとり
q0140,生活,卵白の盛り上がりの高さと卵の重量から算出される、卵の鮮度を測る指標を何というでしょう？,ハウユニット,HU
q0141,生活,1881年に創業された服部時計店を前身とする、1969年に世界初のクオーツ式腕時計を発売した時計メーカーは何でしょう？,セイコー,SEIKO
q0142,生活,かつて花を挿していた習慣から名付けられた、スーツの左襟にあるボタン穴のことを何というでしょう？,フラワーホール,
q0143,生活,一般的には1月11日に行われる、お正月に飾った鏡餅を下ろして、お汁粉などにして食べる伝統行事を何というでしょう？,鏡開き（かがみびらき）,鏡割り
q0144,生活,肉やタマネギなどを加熱した際に、糖とアミノ酸が反応して褐色になり、香ばしい風味が生まれる化学反応を何というでしょう？,メイラード反応,
q0145,生活,靴の紐を通すために開けられた小さな穴の周りを補強する金具のことを、ある鳥の目に例えて何というでしょう？,鳩目（はとめ）,ハトメ
q0146,生活,喪中のため年賀状を出せなかった場合などに、松の内が明けてから立春までの間に送る挨拶状を何というでしょう？,寒中見舞い（かんちゅうみまい）,
q0147,生活,ネクタイを結ぶ際に作られる「くぼみ」のことを英語で何というでしょう？,ディンプル,dimple
q0148,生活,イギリスのメアリー王女にちなんで名付けられた、煮崩れしにくく細長い形をしたジャガイモの品種は何でしょう？,メークイン,メークイーン
q0149,生活,1904年に世界で初めて魔法瓶を製品化した、ドイツの家庭用品メーカーは何でしょう？,サーモス,THERMOS
q0150,生活,1896年にポロ選手の襟（えり）からヒントを得て、ボタンダウンシャツを世界で初めて発売した、アメリカのブランドは何でしょう？,ブルックス・ブラザーズ,ブルックスブラザーズ
q0151,スポーツ,柔道男子60キロ級で、アトランタからアテネまでのオリンピック3大会連続で金メダルを獲得した柔道家は誰でしょう？,野村忠宏（のむらただひろ）,
q0152,スポーツ,テニスで、全豪オープン、全仏オープン、ウィンブルドン、全米オープンの4大大会をすべて制覇することを何というでしょう？,キャリアグランドスラム,グランドスラム
q0153,スポーツ,1928年のアムステルダム大会で、日本人として初めてオリンピックの金メダルを獲得した、陸上三段跳びの選手は誰でしょう？,織田幹雄（おだみきお）,
q0154,スポーツ,Jリーグが発足した1993年に、初代MVPを受賞した、「キング・カズ」の愛称で親しまれる選手は誰でしょう？,三浦知良（みうらかずよし）,
q0155,スポーツ,バレーボールで、他の選手と異なる色のユニフォームを着用する守備専門の選手を何というでしょう？,リベロ（りべろ）,
q0156,スポーツ,相撲の土俵に設置されている20個の俵のうち、4箇所だけ少し外側にずらして置かれているものを何というでしょう？,徳俵（とくだわら）,
q0157,スポーツ,圧倒的な強さから「モンスター」という異名を持つ、2023年に2階級での4団体王座統一を成し遂げた日本のプロボクサーは誰でしょう？,井上尚弥（いのうえなおや）,
q0158,スポーツ,サッカーで、選手の交代や負傷者の救護などで生じた中断を補うため、前後半の終了後に付け加えられる時間を「何タイム」というでしょう？,アディショナルタイム（あでぃしょなるたいむ）,
q0159,スポーツ,1934年の日米野球でベーブ・ルースやルー・ゲーリッグらを相手に好投した、現在はプロ野球の優れた先発投手に贈られる賞に名前を残す投手は誰でしょう？,沢村栄治（さわむらえいじ）,
q0160,スポーツ,世界三大レースの一つ、ルマン24時間耐久レースの舞台となる、公道を一部含んだフランスのサーキットは何でしょう？,サルト・サーキット,サルテサーキット
q0161,漫画・アニメ・ゲーム（漫アゲ）,怪獣清掃員の日比野カフカが、謎の生物に寄生され変身能力を得てしまう、松本直也（まつもとなおや）の漫画は何でしょう？,怪獣8号（かいじゅうはちごう）,
q0162,漫画・アニメ・ゲーム（漫アゲ）,プレイヤーは「初星学園（はつぼしがくえん）」でプロデューサーとなりアイドルを育成する、バンダイナムコのゲームは何でしょう？,学園アイドルマスター（がくえんあいどるますたー）,学マス
q0163,漫画・アニメ・ゲーム（漫アゲ）,妹を救うため、ライオスたちが魔物を料理して食べながら迷宮を踏破する、九井諒子（くいりょうこ）の漫画は何でしょう？,ダンジョン飯（だんじょんめし）,
q0164,漫画・アニメ・ゲーム（漫アゲ）,霊媒師の家系のモモと、オカルトマニアのオカルンが怪奇現象に立ち向かう、龍幸伸（たつゆきのぶ）の漫画は何でしょう？,ダンダダン（だんだだん）,
q0165,漫画・アニメ・ゲーム（漫アゲ）,10億ドルの懸賞金をかけられた元・殺し屋の坂本太郎（さかもとたろう）が、家族との日常を守るために戦う、鈴木祐斗（すずきゆうと）の漫画は何でしょう？,SAKAMOTO DAYS（さかもとでいず）,サカモトデイズ
q0166,漫画・アニメ・ゲーム（漫アゲ）,「新エリー都」を舞台に、プレイヤーが「プロキシ」としてホロウの災害に立ち向かう、HoYoverseのゲームは何でしょう？,ゼンレスゾーンゼロ（ぜんれすぞーんぜろ）,ゼンゼロ
q0167,漫画・アニメ・ゲーム（漫アゲ）,妖刀を作る父を殺された少年の千尋（ちひろ）が、復讐のために刀を振るう姿を描いた、外薗健（ほかぞのたける）の漫画は何でしょう？,カグラバチ（かぐらばち）,
q0168,芸能,Vtuberプロジェクト「ネクストピア」のプロデュースや、歴史あるタレントスカウトキャラバンを主催する、大手芸能事務所はなんでしょう？,ホリプロ,
q0169,漫画・アニメ・ゲーム（漫アゲ）,アニメ『リコリス・リコイル』の錦木千束や、『響け！ユーフォニアム』の高坂麗奈を演じた声優は誰でしょう？,安済知佳（あんざいちか）,
q0170,漫画・アニメ・ゲーム（漫アゲ）,山田尚子監督の劇場版アニメの『平家物語』や『きみの色』の制作を担当した、アニメーションスタジオは何でしょう？,サイエンスSARU（サル）,
q0171,芸術,税関職員として働きながら独学で絵を描き、『眠れるジプシー女』などの作品を残したフランスの画家は誰でしょう？,アンリ・ルソー,
q0172,芸術,1920年にロシアの物理学者が発明した、アンテナに手をかざして音程や音量を操作する、世界最古の電子楽器は何でしょう？,テルミン,
q0173,芸術,「サゲ」とも呼ばれる、落語の物語の締めくくりとなる部分を何というでしょう？,落ち（おち）,
q0174,芸術,ガリレオ・ガリレイが落下の実験を行ったという逸話が残る、地盤沈下によって傾いているイタリアの鐘楼は何でしょう？,ピサの斜塔（ぴさのしゃとう）,
q0175,芸術,面相筆（めんそうふで）とベビーパウダーを使って「乳白色（にゅうはくしょく）の肌」という独自の表現を確立した、エコール・ド・パリで活躍した日本の画家は誰でしょう？,藤田嗣治（ふじたつぐはる）,レオナール・フジタ
q0176,芸術,ダンテの『神曲（しんきょく）』に着想を得た『地獄の門（じごくのもん）』の一部として作られた、ロダンの彫刻は何でしょう？,考える人（かんがえるひと）,
q0177,芸術,『火星』から『海王星』までの7曲で構成される、ホルストの組曲は何でしょう？,惑星（わくせい）,
